147,鎮守かわら版 続,2,2,all,NAITOU TECHNOLOGY,内藤隆,20150814
148,7BOMB summer,2,4,all,おたうT-R,皇ハマオ,20150814
149,HELLO&HELLO,2,1,all,遊閑地,こずみっく,20150814
150,三川艦隊海の家はじめました!!,2,1,all,くろっくすた?,クロノトカゲ,20150814
151,宵の雨,2,1,all,それがし屋,某氏屋,20150815
152,COMIC摩耶っ天だVol.4,2,1,r18,中曽根バタリアン,中曽根ハイジ,20150816
153,FoxGirlSupply3,8,2,r18,Marvelous Grace,立羽,20150816
154,HEART KINE ALIVE,2,2,r18,D.N.A.Lab.,ミヤスリサ,20150816
155,IGC01,2,2,r18,いちごぱんつ,カグユヅ,20150816
156,PRINCIPIUM,3,2,all,T-STYLE-WORKS,T-TRACK,20150816
157,R.O.D 9  Rider or Die,8,1,r18,怪奇日蝕,綾野なおと,20150816
158,WALNUT78 6TH,2,2,r18,翠苑,翠燕,20150816
159,WALNUT78 sp1,2,2,r18,翠苑,翠燕,20150816
160,男汁(メンつゆ)Vol.3,2,4,r18,中曽根バタリアン,中曽根ハイジ,20150816
161,しぶりんkか監禁　-after-,7,1,r18,Crazy9,ITITAKA,20150816
162,すぱし?ばアーニャ！,7,1,r18,夕凪荘,かんな鉄木,20150816
163,水着の翔鶴さんはいかが？,2,3,r18,ショコラテ,一葉モカ,20150816
164,めしあがれ! Buon appetito!,2,1,r18,いちごぱんつ,カグユヅ,20150816
165,おねがい浜風,2,1,r18,アレムガカン,桐島サトシ,20150816
166,高雄型靴下本［参］,2,1,r18,嘘つき屋,大嘘,20150816
167,真夏のぷーる大決戦,2,1,r18,色天使,白猫参謀,20150816
168,気温38度、室温19度、体温37度。,2,1,r18,膣からレバー,しせい,20150816
169,C-C BEACH ちとちよビーチ,2,1,r18,てんらけ茶屋,あーる。,20150816
170,szyt_nnsr?,2,1,r18,AYUEST,あゆや,20150816
171,中央線沿線少女 2015 Summer,3,2,all,サザンブルースカイ,rioka,20150816
172,AYULOGE 08,2,2,all,AYUEST,あゆや,20150816
173,潜水艦のアイデンティティが！,2,4,all,RRR,りおし,20150816
174,きのこのみるく４,2,2,all,きのこのみ,kino konomi,20150816
175,らくがき学芸会,3,12,all,らくがき学芸会,合同本参加者,20150816
176,徒然チルドレン＋２,3,1,all,徒然チルドレン,若林稔弥,20150816
177,夕張30歳と一緒の日常０　～夕張結婚前編～,2,1,all,ほしまきproject,矢野トシノリ,20150816
178,夕張30歳と一緒の日常⑨　～夕張30歳シリーズまとめ～,2,1,all,ほしまきproject,矢野トシノリ,20150816
179,ゲッター対金剛四姉妹,2,1,r18,木星在住,,20150816
180,京都秘封神話大系　急　プレビュー版,1,4,all,有機化合物,ユーキ,20151012
181,秘封回顧録,1,1,all,有機化合物,ユーキ,20151012
182,境界影幽譚 ～Mirge Girls～,1,1,all,有機化合物　風前ランプ,ユーキ　フウザサ,20151018
183,時代遅れは服を求む。,1,1,all,ねこのさけごと,さざなみみぉ,20151018
184,東方TRANS SEXUAL FICTION 1 妖夢に憑依,1,3,r18,背徳漢,,20151018
185,憂鬱のこころチャレンジ,1,1,all,Rainbow Vanilla,祭唄,20151018
186,Dearg sceal,1,2,all,α.ACE,英エイスト,20151101
187,京都秘封神話大系　急,1,1,all,有機化合物,ユーキ,20151101
188,時系列妖々夢,1,2,all,,yutapon,20151101
189,東方睡姦1,1,3,r18,背徳漢,,20151111
190,4コマ LIVE幻想郷！ １,1,10,all,虚無僧.COM,ジェット虚無僧,20151228
191,ジェット式 東方四コマ総集編 １,1,10,all,虚無僧.COM,ジェット虚無僧,20151228
192,OTON1,2,1,all,パレス犬吠崎,蘇募ロウ,20151230
193,OTON2,2,1,all,パレス犬吠崎,蘇募ロウ,20151230
194,雷鼓さんはビールが飲みたい！,1,1,all,ぜのさいど,是乃,20151230
195,Assorted Collection 1 hour draw collection 4,2,2,all,Sorairo,結平明日,20151230
196,C89 OMAKE MIZUGI ILLUSTRATION,1,2,all,Rainbow Vanilla,祭唄,20151230
197,Delicious Traco2,2,2,all,traco strawderry,シソ,20151230
198,FORTUNA,1,1,all,カカオ加工場,かかお,20151230
199,Grafiti vol.1,1,2,r18,劇毒少女,ke-ta,20151230
200,KOISATO,1,2,r18,劇毒少女,ke-ta,20151230
201,SAIKYO CIRNO MAD MARUKYU,1,1,all,武士的魂,御月ユウヤ,20151230
202,Starting Point vol.03,2,2,all,さいくるりばーす,すてば,20151230
203,WINTER 2015,2,2,all,Pixel Works,ホロすけ,20151230
204,WINTER COLOR,2,2,all,夏色少女,,20151230
205,暁のクセになまいきだ！,2,1,all,赤色みらい,,20151230
206,悪魔の黙示録2,1,1,all,ルナティック少年院(ドリル乳繰り),悪餓鬼,20151230
207,甘えたいさかり５　武蔵と清霜,2,1,r18,20twenty,match,20151230
208,意識の高いドＭ提督の日常2,2,1,all,パレス犬吠崎,山本アリフレッド,20151230
209,いつもの,1,1,all,火鳥でできるもん！,火鳥,20151230
210,いつもの　おまけ,1,1,all,火鳥でできるもん！,火鳥,20151230
211,異聞アマノジャク VS 針妙丸　下巻,1,1,all,有機化合物,ユーキ,20151230
212,運命プロローグ,2,1,all,ちくわ珈琲,さふ818,20151230
213,江風ちゃんはテレ可愛い!!,2,1,all,もりこっこ,ゆかりた,20151230
214,オコタ・デ・チャット,2,10,all,ポンコツ,ポン,20151230
215,ガムシャラソウジュ,1,1,all,純情リーマー(ドリル乳繰り),竜一,20151230
216,カリワザ,1,1,all,VENTOPLUS,ヴェント,20151230
217,カンムス・ア・ゴーゴー　2015冬,2,1,all,ポンコツ,ポン,20151230
218,君の足音,2,1,all,みの森,ミノリ,20151230
219,キミの笑顔,1,1,all,あるたな,薙派(ちぱ),20151230
220,清霜のあこがれ,2,1,all,カシワギ,Hi-UNI,20151230
221,航空戦艦フェアリーテイル,2,1,all,LETRA,滝太郎,20151230
222,こちら秘封探偵事務所　illustratedbook vol.1 the Embodiment of Scarlet Devil,1,11,all,たんこぶ,EO,20151230
223,この2人のここがスキ本,8,4,all,20twenty,match,20151230
224,鷺の声響く,1,3,r18,てつのおとしご,チロリアン,20151230
225,さよならアマノジャク,1,1,all,こもりきり。,卯林,20151230
226,潮騒,2,3,r18,さくらがーでん,しろすず,20151230
227,シロガネエッヂ,1,1,all,薬味さらい,ゾウノセ,20151230
228,千載えにし,2,1,all,LETRA,滝太郎,20151230
229,羨望のココロエデュケ～ション,1,1,all,Rainbow Vanilla,祭唄,20151230
230,チャイナ東方～2015～,1,2,all,MONEけしごむ,もねてぃ,20151230
231,帝国海軍　敗戦への道,2,13,all,新日暮里ガチムチ亭,いのじん,20151230
232,東方時姦15,1,3,r18,背徳漢,,20151230
233,とびだせ大鳳ちゃん C89Edition,2,1,all,倫敦茶党,リムコロ,20151230
234,なまいき！浜風,2,1,all,野図部屋,野図,20151230
235,はなたれたこころ,1,1,all,風前ランプ,フウザサ,20151230
236,帝國海軍 敗戦への道,2,11,all,新日暮里ガチムチ亭,いのじん,20151230
237,KANCOLLE RACE QUEEN-R,2,4,r18,Pixel Works,ホロすけ,20151230
238,Fallen World,2,2,all,おうち大好きインドア派,キト　こるた,20151230
239,『７』,2,12,all,ぽんじゆうす？,シノ,20151230
240,over Quantum Mechanics Rainbow 15,2,1,all,SEQMED,ユメのオワリ,20151231
241,over Quantum Mechanics Rainbow 16,2,1,all,SEQMED,ユメのオワリ,20151231
242,Tyokotto ARC,2,4,r18,ARC,多摩川雪丸,20151231
243,ケッコン前遊戯,2,3,r18,猫じゃらされ,ゆあさ,20151231
244,夏色すけっち,2,4,all,夏色少女,たかなしはると,20151231
245,榛名は大丈夫です！！,2,1,r18,Crazy9,いちたか,20151231
246,榛名は大丈夫です！！改二,2,1,r18,Crazy10,いちたか,20151231
247,ビスコレ zwei,2,3,r18,Digital Flyer,大田優一,20151231
248,憂色マジック,1,4,all,有機化合物,ユーキ,20160124
249,猫を拾えば,1,10,all,ハニートースト,紅シャケ,20160124
250,サグメさんは語りたい,1,1,all,うり畑牧場,まくわうに,20160313
251,夢色マジック,1,4,all,有機化合物,ユーキ,20160313
252,神戸かわさき造船これくしょん３　限定本,2,4,r18,膣からレバー,しせい,20160403
253,WALNUT78 8TH,2,2,r18,翠苑,翠燕,20160501
254,がんばれ！(泣)こがさちゃん!! さよなら、こがさちゃん　-前編-,1,1,all,ルナティック少年院(ドリル乳繰り),悪餓鬼,20160508
255,白鷺恋想夢,1,1,all,有機化合物,ユーキ,20160508
256,虹色マジック,1,1,all,有機化合物,ユーキ,20160508
257,パンデモニウムに響く歌,1,1,all,純情リーマー(ドリル乳繰り),竜一,20160508
258,ふわふわパチュリー様,1,3,r18,いいわけ会社,樹宮匡平,20160508
259,終始一艦,2,1,all,ホッパーオーバーフロー,nonco yumi,20160508
260,Matsuriuta Workers*,1,2,all,Rainbow Vanilla,祭唄,20160605
261,愛し想起へ花束を,1,1,all,蒼色彼方,色谷あすか,20160605
262,おすしがたべたい　たべたくない？,1,1,all,たけのこ。,おみなえし,20160605
263,ムガルビル3,1,1,all,薬味さらい,ゾウノセ,20160813
264,東風谷早苗の牛丼道,1,1,all,ぜのさいど,是乃,20160813
265,けんおう提督が鎮守府に着任しました 砲撃!,2,1,all,武士的魂,御月ユウヤ,20160813
266,曙さんとクソ提督５,2,1,all,ぽんじゆうす？,シノ,20160813
267,スクエアの化身とセンコフマの宴,1,1,all,運命のイカスミ,春雨,20161009
268,GOOD NIGHT,1,1,r18,うぉーたーどろっぷ,MA-SA,20161009
269,青娥抹殺,1,1,all,モルちん斬,理中モルチ,20161009
270,LIFE TAP vol.1,2,2,all,さいくるりばーす,すてば,21001231
271,こちら秘封探偵事務所　illustratedbook vol.1.5,1,11,all,たんこぶ,EO,20151230
272,バブってオギャって守護月兎,1,1,all,ぜのさいど,是乃,20180507
273,こちら秘封探偵事務所 illustrator vol.3,1,1,all,EO,EO,20160813
274,桃地獄,8,1,all,PEACH CRUSADERS,だっち,20170517
