178,夕張30歳と一緒の日常⑨　?夕張30歳シリーズまとめ?,2,1,all,ほしまきproject,矢野トシノリ,2015,8,16
179,ゲッター対金剛四姉妹,2,1,r18,木星在住,-,2015,8,16
180,京都秘封神話大系　急　プレビュー版,1,4,all,有機化合物,ユーキ,2015,10,12
181,秘封回顧録,1,1,all,有機化合物,ユーキ,2015,10,12
182,境界影幽譚 ?Mirge Girls?,1,1,all,有機化合物　風前ランプ,ユーキ　フウザサ,2015,10,18
183,時代遅れは服を求む。,1,1,all,ねこのさけごと,さざなみみぉ,2015,10,18
184,東方TRANS SEXUAL FICTION 1 妖夢に憑依,1,3,r18,背徳漢,-,2015,10,18
185,憂鬱のこころチャレンジ,1,1,all,Rainbow Vanilla,祭唄,2015,10,18
186,Dearg sceal,1,2,all,α.ACE,英エイスト,2015,11,1
187,京都秘封神話大系　急,1,1,all,有機化合物,ユーキ,2015,11,1
188,時系列妖々夢,1,2,all,-,yutapon,2015,11,1
189,東方睡姦1,1,3,r18,背徳漢,-,2015,11,11
190,4コマ LIVE幻想郷！ １,1,10,all,虚無僧.COM,ジェット虚無僧,2015,12,28
191,ジェット式 東方四コマ総集編 １,1,10,all,虚無僧.COM,ジェット虚無僧,2015,12,28
192,OTON1,2,1,all,パレス犬吠崎,蘇募ロウ,2015,12,30
193,OTON2,2,1,all,パレス犬吠崎,蘇募ロウ,2015,12,30
194,雷鼓さんはビールが飲みたい！,1,1,all,ぜのさいど,是乃,2015,12,30
195,Assorted Collection 1 hour draw collection 4,2,2,all,Sorairo,結平明日,2015,12,30
196,C89 OMAKE MIZUGI ILLUSTRATION,1,2,all,Rainbow Vanilla,祭唄,2015,12,30
197,Delicious Traco2,2,2,all,traco strawderry,シソ,2015,12,30
198,FORTUNA,1,1,all,カカオ加工場,かかお,2015,12,30
199,Grafiti vol.1,1,2,r18,劇毒少女,ke-ta,2015,12,30
200,KOISATO,1,2,r18,劇毒少女,ke-ta,2015,12,30
201,SAIKYO CIRNO MAD MARUKYU,1,1,all,武士的魂,御月ユウヤ,2015,12,30
202,Starting Point vol.03,2,2,all,さいくるりばーす,すてば,2015,12,30
203,WINTER 2015,2,2,all,Pixel Works,ホロすけ,2015,12,30
204,WINTER COLOR,2,2,all,夏色少女,-,2015,12,30
205,暁のクセになまいきだ！,2,1,all,赤色みらい,-,2015,12,30
206,悪魔の黙示録2,1,1,all,ルナティック少年院(ドリル乳繰り),悪餓鬼,2015,12,30
207,甘えたいさかり５　武蔵と清霜,2,1,r18,20twenty,match,2015,12,30
208,意識の高いドＭ提督の日常2,2,1,all,パレス犬吠崎,山本アリフレッド,2015,12,30
209,いつもの,1,1,all,火鳥でできるもん！,火鳥,2015,12,30
210,いつもの　おまけ,1,1,all,火鳥でできるもん！,火鳥,2015,12,30
211,異聞アマノジャク VS 針妙丸　下巻,1,1,all,有機化合物,ユーキ,2015,12,30
212,運命プロローグ,2,1,all,ちくわ珈琲,さふ818,2015,12,30
213,江風ちゃんはテレ可愛い!!,2,1,all,もりこっこ,ゆかりた,2015,12,30
