221,航空戦艦フェアリーテイル,2,1,all,20151230,,house
222,こちら秘封探偵事務所　illustratedbook vol.1 the Embodiment of Scarlet Devil,1,11,all,20151230,,house
223,この2人のここがスキ本,8,4,all,20151230,,house
224,鷺の声響く,1,3,r18,20151230,,house
225,さよならアマノジャク,1,1,all,20151230,,house
226,潮騒,2,3,r18,20151230,,house
227,シロガネエッヂ,1,1,all,20151230,,house
228,千載えにし,2,1,all,20151230,,house
229,羨望のココロエデュケ～ション,1,1,all,20151230,,house
230,チャイナ東方～2015～,1,2,all,20151230,,house
231,帝国海軍　敗戦への道,2,13,all,20151230,,house
232,東方時姦15,1,3,r18,20151230,,house
233,とびだせ大鳳ちゃん C89Edition,2,1,all,20151230,,house
234,なまいき！浜風,2,1,all,20151230,,house
235,はなたれたこころ,1,1,all,20151230,,house
236,帝國海軍 敗戦への道,2,11,all,20151230,,house
237,KANCOLLE RACE QUEEN-R,2,4,r18,20151230,,house
238,Fallen World,2,2,all,20151230,,house
239,『７』,2,12,all,20151230,,house
240,over Quantum Mechanics Rainbow 15,2,1,all,20151231,,house
241,over Quantum Mechanics Rainbow 16,2,1,all,20151231,,house
242,Tyokotto ARC,2,4,r18,20151231,,house
243,ケッコン前遊戯,2,3,r18,20151231,,house
244,夏色すけっち,2,4,all,20151231,,house
245,榛名は大丈夫です！！,2,1,r18,20151231,,house
246,榛名は大丈夫です！！改二,2,1,r18,20151231,,house
247,ビスコレ zwei,2,3,r18,20151231,,house
248,憂色マジック,1,4,all,20160124,,house
249,猫を拾えば,1,10,all,20160124,,house
250,サグメさんは語りたい,1,1,all,20160313,,house
251,夢色マジック,1,4,all,20160313,,house
252,神戸かわさき造船これくしょん３　限定本,2,4,r18,20160403,,house
253,WALNUT78 8TH,2,2,r18,20160501,,house
254,がんばれ！(泣)こがさちゃん!! さよなら、こがさちゃん　-前編-,1,1,all,20160508,,house
255,白鷺恋想夢,1,1,all,20160508,,house
256,虹色マジック,1,1,all,20160508,,house
257,パンデモニウムに響く歌,1,1,all,20160508,,house
258,ふわふわパチュリー様,1,3,r18,20160508,,house
259,終始一艦,2,1,all,20160508,,house
260,Matsuriuta Workers*,1,2,all,20160605,,house
261,愛し想起へ花束を,1,1,all,20160605,,house
262,おすしがたべたい　たべたくない？,1,1,all,20160605,,house
263,ムガルビル3,1,1,all,20160813,,house
264,東風谷早苗の牛丼道,1,1,all,20160813,,house
265,けんおう提督が鎮守府に着任しました 砲撃!,2,1,all,20160813,,house
266,曙さんとクソ提督５,2,1,all,20160813,,house
267,スクエアの化身とセンコフマの宴,1,1,all,20161009,,house
268,GOOD NIGHT,1,1,r18,20161009,,house
269,青娥抹殺,1,1,all,20161009,,house
270,LIFE TAP vol.1,2,2,all,,,house
271,こちら秘封探偵事務所　illustratedbook vol.1.5,1,11,all,20151230,,house
